Table Name,File Path,Data Element,Data Type,Bizterm Group,Layer,Business Term,Description,Biz Logic,Origin (Source Data),Sensitivity (PII/non PII),Impact,Time Aggregation,Possible Values
l1_customer_los_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_los/customer_los_weekly.parquet,msisdn,string,customer_los,aggregation,,Mobile Number from both prepaid and postpaid customer,,"cb.cb_pre_dd - msisdn,cb.cb_post_dd - msisdn,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_los/validated_activated_date.parquet - msisdn,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_los/pre_to_post_migration_all.parquet - msisdn",Yes,Low,Weekly,Any string
l1_customer_los_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_los/customer_los_weekly.parquet,activation_date,string,customer_los,aggregation,,Activation Date of MSISDN,,"cb.cb_pre_dd - activation_date,cb.cb_post_dd - activation_date,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_los/validated_activated_date.parquet - activation_date,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_los/pre_to_post_migration_all.parquet - activation_date,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_los/pre_to_post_migration_all.parquet - prev_activation_date",No,Low,Weekly,Any string
l1_customer_los_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_los/customer_los_weekly.parquet,weekstart,date,customer_los,aggregation,,date of first Monday of then week in which event occured in yyyy-MM-dd format,,"cb.cb_pre_dd - event_date,cb.cb_post_dd - event_date",No,Low,Weekly,Any date
l2_customer_los_weekly_data_final,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_los/customer_los_weekly_final.parquet,msisdn,string,customer_los,primary,,Mobile Number,,cb.cb_post_dd - msisdn,Yes,Low,Weekly,Any string
l2_customer_los_weekly_data_final,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_los/customer_los_weekly_final.parquet,activation_date,string,customer_los,primary,,Activation Date of MSISDN,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_los/customer_los_weekly.parquet - activation_date,No,Low,Weekly,Any string
l2_customer_los_weekly_data_final,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_los/customer_los_weekly_final.parquet,weekstart,date,customer_los,primary,,date of first Monday of then week in which event occured in yyyy-MM-dd format,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_los/customer_los_weekly.parquet - weekstart,No,Low,Weekly,Any date
l4_fea_customer_los,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_los/fea_customer_los.parquet,msisdn,string,customer_los,feature,,Mobile Number,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_los/customer_los_weekly_final.parquet - msisdn,Yes,Low,Weekly,Any string
l4_fea_customer_los,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_los/fea_customer_los.parquet,fea_los,int,customer_los,feature,,Length of relation the customer holds with the telco,Minimum of data difference between weekstart and activation_date,"hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_los/customer_los_weekly_final.parquet - weekstart,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_los/customer_los_weekly_final.parquet - activation_date",No,Low,Weekly,Any number
l4_fea_customer_los,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_los/fea_customer_los.parquet,weekstart,date,customer_los,feature,,date of first Monday of then week in which event occured in yyyy-MM-dd format,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_los/customer_los_weekly_final.parquet - weekstart,No,Low,Weekly,Any date
l1_cb_multidim_weekly,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet,msisdn,string,customer_profile,aggregation,,Mobile Number,,cb.cb_multidim - msisdn,Yes,Low,Weekly,Any string
